bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
130,046-2,Shave Package 3.0,3. Solution Aware,Comparison / Anti-X,Van irritatie naar effortless comfort.,"Verlangen naar controle, gemak en zelfvertrouwen in de ochtend.",🖼️ Static ad,🖼️ Static ad,"De beste keuze van dit seizoen: glad, snel en zonder iritatie",Meta,NL & BE,Luca,2025-10-20,9.7,,0.0,0.0,0.0104,12.65,1.21,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1du_9mIdJzjsMqW2qEi8SvV0vrblRGC6U?usp=drive_link
131,046-3,Shave Package 3.0,3. Solution Aware,Comparison / Anti-X,Van irritatie naar effortless comfort.,"Verlangen naar controle, gemak en zelfvertrouwen in de ochtend.",🖼️ Static ad,🖼️ Static ad,Ochtenden vol irritatie,Meta,NL & BE,Luca,2025-10-20,489.6,,0.0,0.0,0.0056,8.1,1.91,,0.251,56.88,64.4,1.13,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1du_9mIdJzjsMqW2qEi8SvV0vrblRGC6U?usp=drive_link
132,046-4,Shave Package 3.0,3. Solution Aware,Comparison / Anti-X,Van irritatie naar effortless comfort.,"Verlangen naar controle, gemak en zelfvertrouwen in de ochtend.",🖼️ Static ad,🖼️ Static ad,Dit verandert je routine,Meta,NL & BE,Luca,2025-10-20,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1du_9mIdJzjsMqW2qEi8SvV0vrblRGC6U?usp=drive_link
133,047-1,Scheerapparaat Elite,5. Most Aware,FOMO / Scarcity,Premium zonder premium prijs.,Trots om slim te kiezen – luxe voor minder.,🖼️ Static ad,🖼️ Static ad,"Mythe: Premium grooming betekent een premium prijs, Feit: Wellshave: Braun & Phillips- kwaliteit voor 49,95 in plaats van 250+",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-07,27.54,,0.0,0.0,0.0103,12.94,1.45,,0.0,,,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1JPtE44UaI8uoeZBZeh3BqOgQasGncD9N?usp=drive_link
134,047-2,Scheerapparaat Elite,5. Most Aware,FOMO / Scarcity,Premium zonder premium prijs.,Trots om slim te kiezen – luxe voor minder.,🖼️ Static ad,🖼️ Static ad,"Mythe: Premium kwaliteit kost altijd premium prijzen, Feit profiteer deze week van 25% korting - beperkte tijd",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-07,24.44,,0.0,0.0,0.009,13.82,2.44,,0.0909,24.44,48.57,1.99,1.84,2.46,,Iterate,,,https://drive.google.com/drive/folders/1JPtE44UaI8uoeZBZeh3BqOgQasGncD9N?usp=drive_link
135,047-3,Scheerapparaat Elite,5. Most Aware,FOMO / Scarcity,Premium zonder premium prijs.,Trots om slim te kiezen – luxe voor minder.,🖼️ Static ad,🖼️ Static ad,"Feit: Dure scheerapparaten zijn alleen goed, Feit: goed gegeprijsd presteert net zo goed als A-merken",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-07,18.65,,0.08,1.0,0.0138,15.17,1.1,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1JPtE44UaI8uoeZBZeh3BqOgQasGncD9N?usp=drive_link
136,047-4,Scheerapparaat Elite,5. Most Aware,FOMO / Scarcity,Premium zonder premium prijs.,Trots om slim te kiezen – luxe voor minder.,🖼️ Static ad,🖼️ Static ad,Mythe: Alleen grote merken leveren comfort Feit: 4.6/5 sterren bewijzen dat ook betaalbaar kan,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-07,18.87,,0.0,0.0,0.01,11.75,1.18,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1JPtE44UaI8uoeZBZeh3BqOgQasGncD9N?usp=drive_link
137,048-1,Scheerapparaat Elite,3. Solution Aware,Comparison / Anti-X,"Slim herinnerd, beter geschoren.","Verlangen naar gemak, comfort en waardering.",🖼️ Static ad,🖼️ Static ad,Reminder voor mannen! Gratis scheerkop bij je bestelling!,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-10,12.51,,0.0,0.0,0.0201,13.25,0.66,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1rf9dAr0muMhSFbgB_EqBGToVq2kSXb5t?usp=drive_link
138,048-2,Scheerapparaat Elite,3. Solution Aware,Comparison / Anti-X,"Slim herinnerd, beter geschoren.","Verlangen naar gemak, comfort en waardering.",🖼️ Static ad,🖼️ Static ad,"Reminder : Scheer irritatie is niet normal, stop met pijnlijke scheerbeurten",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-10,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1rf9dAr0muMhSFbgB_EqBGToVq2kSXb5t?usp=drive_link
139,048-3,Scheerapparaat Elite,3. Solution Aware,Comparison / Anti-X,"Slim herinnerd, beter geschoren.","Verlangen naar gemak, comfort en waardering.",🖼️ Static ad,🖼️ Static ad,Reminder: scheer zorgeloos. Beoordeeld met een 4.6/5 sterren door tevreden mannen,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-10,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1rf9dAr0muMhSFbgB_EqBGToVq2kSXb5t?usp=drive_link
140,049-1,Scheerapparaat Elite,3. Solution Aware,Social Proof / Reviews,"Zelfde topkwaliteit, eerlijker geprijsd.","Vertrouwen in slimme, zorgeloze kwaliteit.",🖼️ Static ad,🖼️ Static ad,Glad scheren zonder irritatie - topkwaliteit voor een eerlijke prijs,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,0.01,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1tYpeUNCfFsLcX16mIPz4AbrXQOfkQNLR?usp=drive_link
141,049-2,Scheerapparaat Elite,3. Solution Aware,Social Proof / Reviews,"Zelfde topkwaliteit, eerlijker geprijsd.","Vertrouwen in slimme, zorgeloze kwaliteit.",🖼️ Static ad,🖼️ Static ad,"25% korting deze week, glad en comfortabel. Morgen in huis",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,2.48,,0.0,0.0,0.0136,11.22,0.83,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1tYpeUNCfFsLcX16mIPz4AbrXQOfkQNLR?usp=drive_link
142,049-3,Scheerapparaat Elite,3. Solution Aware,Social Proof / Reviews,"Zelfde topkwaliteit, eerlijker geprijsd.","Vertrouwen in slimme, zorgeloze kwaliteit.",🖼️ Static ad,🖼️ Static ad,"Bescherming voor je huid, efficient scheren, geen stress meer",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,0.23,,0.0,0.0,0.0,4.89,0.0,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1tYpeUNCfFsLcX16mIPz4AbrXQOfkQNLR?usp=drive_link
143,049-4,Scheerapparaat Elite,3. Solution Aware,Social Proof / Reviews,"Zelfde topkwaliteit, eerlijker geprijsd.","Vertrouwen in slimme, zorgeloze kwaliteit.",🖼️ Static ad,🖼️ Static ad,"Gladde resultaten, comfortabel scheren - Beoordeeld met 4.6/5 sterren",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-12-24,1.51,,0.0,0.0,0.0,16.97,0.0,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1tYpeUNCfFsLcX16mIPz4AbrXQOfkQNLR?usp=drive_link
144,050-1,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Bewezen kwaliteit door echte klanten.,Vertrouwen en geruststelling in een bewezen keuze.,🖼️ Static ad,🖼️ Static ad,Review: Top product en top service!,Meta,NL & BE,Luca,2025-11-05,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1100nNElO1qN7AvwxsRU6MuK9UC0T3KdJ?usp=drive_link
145,050-2,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Bewezen kwaliteit door echte klanten.,Vertrouwen en geruststelling in een bewezen keuze.,🖼️ Static ad,🖼️ Static ad,Review: Geen irritatie. Geen stress. Profiteer zolang de korting geldt!,Meta,NL & BE,Luca,2025-11-05,15.4,,0.0,0.0,0.0078,8.04,1.03,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1100nNElO1qN7AvwxsRU6MuK9UC0T3KdJ?usp=drive_link
146,050-3,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Bewezen kwaliteit door echte klanten.,Vertrouwen en geruststelling in een bewezen keuze.,🖼️ Static ad,🖼️ Static ad,Review: Bang voor sneetjes?,Meta,NL & BE,Luca,2025-11-05,5.64,,0.0022,0.0,0.0065,12.26,1.88,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1100nNElO1qN7AvwxsRU6MuK9UC0T3KdJ?usp=drive_link
147,050-4,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Bewezen kwaliteit door echte klanten.,Vertrouwen en geruststelling in een bewezen keuze.,🖼️ Static ad,🖼️ Static ad,Review: Eindelijk comfortabel scheren,Meta,NL & BE,Luca,2025-11-05,18.98,,0.0,0.0,0.0085,8.52,1.0,,0.526,18.98,71.91,3.79,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1100nNElO1qN7AvwxsRU6MuK9UC0T3KdJ?usp=drive_link
148,WS-051,Groom Guard,,,,,📱 UGC Talking Head Testimonial,🎬 Video,,Meta,NL/ BE,,,,,,,,,,,,,,,,,,Live,,Geen performance data. Meta: Launched | TikTok: Ready to launch | Organic: Ready to lanch,@WS/LP051
149,051-1,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Snij je jezelf ook elke keer bij het trimmen?,Meta,NL & BE,Luca,2025-10-07,33.38,,0.2351,0.0438,0.0191,12.5,0.88,,0.075,11.13,48.46,4.36,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1q_A-Ht1fUr4RxqDwvTQjwUwLq20NjcnB?usp=drive_link
150,051-2,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Heb jij ook last van dikke haren die vastlopen bij het scheren?,Meta,NL & BE,Luca,2025-10-07,33.38,,0.2351,0.0438,0.0191,12.5,0.88,,0.075,11.13,48.46,4.36,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1q_A-Ht1fUr4RxqDwvTQjwUwLq20NjcnB?usp=drive_link
151,051-3,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Als jij daar beneden wel eens wondjes krijgt na het scheren. Let dan even op!,Meta,NL & BE,Luca,2025-10-07,33.38,,0.2351,0.0438,0.0191,12.5,0.88,,0.075,11.13,48.46,4.36,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1q_A-Ht1fUr4RxqDwvTQjwUwLq20NjcnB?usp=drive_link
152,051-4,Groom Guard,2. Problem Aware,Negative / Pain Agitation,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,"Begint het bij jou beneden ook altijd te jeuken na het scheren, let dan even op!",Meta,NL & BE,Luca,2025-10-07,33.38,,0.2351,0.0438,0.0191,12.5,0.88,,0.075,11.13,48.46,4.36,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1q_A-Ht1fUr4RxqDwvTQjwUwLq20NjcnB?usp=drive_link
153,052-1,Groom Guard,3. Solution Aware,Benefits-Driven,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Snij je jezelf ook elke keer bij het trimmen?,Meta,NL & BE,Luca,2025-10-07,470.83,,0.3331,0.061,0.0115,5.53,0.66,,0.0326,19.62,53.52,2.73,1.9,2.38,,Winner,,,https://drive.google.com/drive/folders/1KmTPg-tgIseca3-dnXa1zkCiwff9zJOg?usp=drive_link
154,052-2,Groom Guard,3. Solution Aware,Benefits-Driven,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Heb jij ook last van dikke haren die vastlopen bij het scheren?,Meta,NL & BE,Luca,2025-10-07,472.79,,0.333,0.061,0.0116,5.54,0.66,,0.0324,19.7,53.52,2.72,1.9,2.38,,Winner,,,https://drive.google.com/drive/folders/1KmTPg-tgIseca3-dnXa1zkCiwff9zJOg?usp=drive_link
155,052-3,Groom Guard,3. Solution Aware,Benefits-Driven,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,Als jij daar beneden wel eens wondjes krijgt na het scheren. Let dan even op!,Meta,NL & BE,Luca,2025-10-07,472.79,,0.333,0.061,0.0116,5.54,0.66,,0.0324,19.7,53.52,2.72,1.9,2.38,,Winner,,,https://drive.google.com/drive/folders/1KmTPg-tgIseca3-dnXa1zkCiwff9zJOg?usp=drive_link
156,052-4,Groom Guard,3. Solution Aware,Benefits-Driven,Van pijn en irritatie naar moeiteloos comfort.,Opluchting en vertrouwen in een pijnvrije scheerervaring.,📱 UGC Talking Head Testimonial,🎬 Video,"Begint het bij jou beneden ook altijd te jeuken na het scheren, let dan even op!",Meta,NL & BE,Luca,2025-10-07,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1KmTPg-tgIseca3-dnXa1zkCiwff9zJOg?usp=drive_link
157,053-1,Groom Guard,3. Solution Aware,Benefits-Driven,Slimmer scheren met zicht en controle.,Zelfverzekerdheid en gemak tijdens het scheren.,📱 UGC Talking Head Testimonial,🎬 Video,"De donkere dagen komen eraan, dus je hebt licht nodig om je daarbeneden te scheren",Meta,NL & BE,Luca,2025-10-14,2.6,,0.2113,0.2143,0.0,9.81,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1d0HGXAqoICOUIxEiaqnHKCArjlroFWEQ?usp=drive_link
158,053-2,Groom Guard,3. Solution Aware,Benefits-Driven,Slimmer scheren met zicht en controle.,Zelfverzekerdheid en gemak tijdens het scheren.,📱 UGC Talking Head Testimonial,🎬 Video,Zit er geeneens een LED licht op je scheerapparaat?,Meta,NL & BE,Luca,2025-10-14,12.07,,0.2543,0.2189,0.0096,11.58,1.21,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1d0HGXAqoICOUIxEiaqnHKCArjlroFWEQ?usp=drive_link
159,053-3,Groom Guard,3. Solution Aware,Benefits-Driven,Slimmer scheren met zicht en controle.,Zelfverzekerdheid en gemak tijdens het scheren.,📱 UGC Talking Head Testimonial,🎬 Video,Kan jij het ook altijd zo slecht zien als je daar beneden gaat scheren?,Meta,NL & BE,Luca,2025-10-14,8.03,,0.2741,0.1723,0.0077,12.3,1.61,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1d0HGXAqoICOUIxEiaqnHKCArjlroFWEQ?usp=drive_link
160,054-1,Scheerapparaat Elite,2. Problem Aware,Negative / Pain Agitation,Effortless grooming voor een strakkere look.,Verlangen naar zelfvertrouwen en aantrekkingskracht.,📱 UGC Talking Head Testimonial,🎬 Video,Dit is misschien wel dé makkelijkste manier om een strakkere kaaklijn te krijgen.,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-14,10.53,,0.1724,0.1921,0.0046,12.02,2.63,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1mcT7HQamAp37qg2dZ6Z0gTTpaJ8POjLJ?usp=drive_link
161,054-2,Scheerapparaat Elite,2. Problem Aware,Negative / Pain Agitation,Effortless grooming voor een strakkere look.,Verlangen naar zelfvertrouwen en aantrekkingskracht.,📱 UGC Talking Head Testimonial,🎬 Video,Dit is misschien wel dé makkelijkste manier om een strakkere kaaklijn te krijgen.,Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-14,7.13,,0.2162,0.1565,0.0015,10.49,7.13,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1mcT7HQamAp37qg2dZ6Z0gTTpaJ8POjLJ?usp=drive_link
162,054-3,Scheerapparaat Elite,2. Problem Aware,Negative / Pain Agitation,Effortless grooming voor een strakkere look.,Verlangen naar zelfvertrouwen en aantrekkingskracht.,📱 UGC Talking Head Testimonial,🎬 Video,"Als je zonder moeite een strakkere kaaklijn wilt, let dan even op.",Meta,NL & BE,Geen specifieke customer Persona (omdat deze nog niet ready zijn),2025-10-14,5.63,,0.2593,0.1622,0.014,13.15,0.94,,0.0,0.0,0.0,0.0,1.84,2.46,,Killed,,,https://drive.google.com/drive/folders/1mcT7HQamAp37qg2dZ6Z0gTTpaJ8POjLJ?usp=drive_link
163,055-1,Groom Guard,2. Problem Aware,Problem-Solution,"Geen jeuk, geen schaamte — gewoon comfort.",Opluchting en zelfvertrouwen in intieme verzorging.,📱 UGC Talking Head Testimonial,🎬 Video,Krijg jij ook altijd jeuk als je je ballen scheert?,Meta,NL & BE,Luca,2025-11-05,10.58,,0.139,0.2875,0.0104,9.19,0.88,,0.833,10.58,49.95,4.72,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/177UYd7E6a9_sxluVD-YNh0ClNLtd24Is?usp=drive_link
164,055-2,Groom Guard,2. Problem Aware,Problem-Solution,"Geen jeuk, geen schaamte — gewoon comfort.",Opluchting en zelfvertrouwen in intieme verzorging.,📱 UGC Talking Head Testimonial,🎬 Video,"Als je jeuk hebt aan je ballen na het scheren, let dan even op.",Meta,NL & BE,Luca,2025-11-05,4.72,,0.1699,0.3402,0.007,8.27,1.18,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/177UYd7E6a9_sxluVD-YNh0ClNLtd24Is?usp=drive_link
165,055-3,Groom Guard,2. Problem Aware,Problem-Solution,"Geen jeuk, geen schaamte — gewoon comfort.",Opluchting en zelfvertrouwen in intieme verzorging.,📱 UGC Talking Head Testimonial,🎬 Video,"Mannen, zo kom je af van jeuk aan je ballen.",Meta,NL & BE,Luca,2025-11-05,131.22,,0.278,0.3147,0.0067,5.65,0.85,,0.258,32.81,53.7,1.64,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/177UYd7E6a9_sxluVD-YNh0ClNLtd24Is?usp=drive_link
166,056-1,Groom Guard,5. Most Aware,FOMO / Scarcity,Van frustratie naar effortless grooming,"Verlangen naar controle, comfort en zekerheid.",🖼️ Static ad,🖼️ Static ad,Zonder Wellshave: Oude apparaten die goedkoop aanvoelen & Sneetjes op gevoelige plekken. Met Wellshave: Slimmer grooming & Huidvriendelijk trimmen overal,Meta,NL & BE,Jasper,2025-11-07,0.43,,0.0,0.0,0.0,9.56,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1NvWoC1JerY9-73hsq1M7fzRRR2xUrWc-?usp=drive_link
167,056-2,Groom Guard,5. Most Aware,FOMO / Scarcity,Van frustratie naar effortless grooming,"Verlangen naar controle, comfort en zekerheid.",🖼️ Static ad,🖼️ Static ad,"Zonder Wellshave: Geen korting, meer betalen - Meer stress, minder comfort - Actie gemist. Met Wellshave: 25% korting - Glad resultaat - Snelle levering",Meta,NL & BE,Jasper,2025-11-07,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1NvWoC1JerY9-73hsq1M7fzRRR2xUrWc-?usp=drive_link
168,056-3,Groom Guard,5. Most Aware,FOMO / Scarcity,Van frustratie naar effortless grooming,"Verlangen naar controle, comfort en zekerheid.",🖼️ Static ad,🖼️ Static ad,Zonder Wellshave: Geen bescherming - Sneetjes en roodheid - Tijdverspilling. Met Wellshave: Huidvriendelijke trimmen - Stressvrije routine - Volledige controle,Meta,NL & BE,Jasper,2025-11-07,0.65,,0.0,0.0,0.027,17.57,0.65,,10.0,0.65,59.95,92.23,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1NvWoC1JerY9-73hsq1M7fzRRR2xUrWc-?usp=drive_link
169,056-4,Groom Guard,5. Most Aware,FOMO / Scarcity,Van frustratie naar effortless grooming,"Verlangen naar controle, comfort en zekerheid.",🖼️ Static ad,🖼️ Static ad,Zonder Wellshave: Geen vertrouwen - Onzeker voor de spiegel - Geen comfort. Met Wellshave: Glad resultaat - Dagelijks gemak - Bevestigd met 4.6/5 sterren,Meta,NL & BE,Jasper,2025-11-07,2.93,,0.0,0.0,0.0073,10.65,1.47,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1NvWoC1JerY9-73hsq1M7fzRRR2xUrWc-?usp=drive_link
170,057-1,Groom Guard,5. Most Aware,FOMO / Scarcity,"Luxe comfort, tijdelijk voordelig.","Verlangen naar een glad, verzorgd en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Onberispelijk gevoel,Meta,NL & BE,Jasper,2025-11-07,0.76,,0.0,0.0,0.0541,10.27,0.19,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/126nlATNnAM5WfNAF0NRt_nO0yOyNSy0y?usp=drive_link
171,057-2,Groom Guard,5. Most Aware,FOMO / Scarcity,"Luxe comfort, tijdelijk voordelig.","Verlangen naar een glad, verzorgd en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,25 korting - Nog een aantal dagen,Meta,NL & BE,Jasper,2025-11-07,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/126nlATNnAM5WfNAF0NRt_nO0yOyNSy0y?usp=drive_link
172,057-3,Groom Guard,5. Most Aware,FOMO / Scarcity,"Luxe comfort, tijdelijk voordelig.","Verlangen naar een glad, verzorgd en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Voorkom sneetjes,Meta,NL & BE,Jasper,2025-11-07,2.1,,0.0,0.0,0.0287,8.61,0.3,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/126nlATNnAM5WfNAF0NRt_nO0yOyNSy0y?usp=drive_link
173,057-4,Groom Guard,5. Most Aware,FOMO / Scarcity,"Luxe comfort, tijdelijk voordelig.","Verlangen naar een glad, verzorgd en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Krijg een glad gevoel,Meta,NL & BE,Jasper,2025-11-07,25.82,,0.0,0.0,0.0088,7.23,0.83,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/126nlATNnAM5WfNAF0NRt_nO0yOyNSy0y?usp=drive_link
